iter	Passed	Remaining
411	3837	5477
412	3846	5467
413	3856	5458
414	3864	5448
415	3874	5438
416	3883	5428
417	3888	5413
418	3897	5403
419	3906	5394
420	3915	5385
421	3925	5375
422	3934	5366
423	3937	5349
424	3946	5339
425	3955	5330
426	3964	5320
427	3971	5307
428	3980	5298
429	3989	5288
430	3998	5279
431	4007	5269
432	4017	5260
433	4023	5247
434	4028	5232
435	4038	5223
436	4047	5214
437	4056	5205
438	4063	5192
439	4073	5183
440	4082	5174
441	4091	5164
442	4100	5155
443	4109	5145
444	4118	5136
445	4120	5118
446	4129	5108
447	4138	5099
448	4147	5090
449	4157	5080
450	4166	5071
451	4175	5061
452	4184	5052
453	4192	5042
454	4201	5033
455	4211	5023
456	4220	5014
457	4229	5004
458	4238	4995
459	4247	4986
460	4252	4971
461	4256	4956
462	4265	4946
463	4273	4936
464	4283	4927
465	4291	4918
466	4301	4909
467	4310	4899
468	4320	4891
469	4329	4881
470	4338	4872
471	4347	4863
472	4356	4854
473	4365	4844
474	4374	4835
475	4383	4826
476	4390	4813
477	4399	4804
478	4407	4794
479	4417	4785
480	4425	4775
481	4435	4766
482	4443	4756
483	4453	4747
484	4462	4738
485	4471	4729
486	4480	4719
487	4489	4710
488	4498	4701
489	4503	4687
490	4509	4675
491	4519	4666
492	4522	4651
493	4532	4642
494	4535	4627
495	4544	4618
496	4553	4608
497	4563	4599
498	4572	4590
499	4582	4582
500	4591	4573
501	4602	4565
502	4611	4556
503	4621	4548
504	4630	4539
505	4640	4530
506	4650	4521
507	4660	4513
508	4669	4504
509	4679	4495
510	4688	4486
511	4697	4477
512	4703	4465
513	4713	4456
514	4719	4444
515	4725	4432
516	4734	4423
517	4743	4414
518	4753	4405
519	4761	4395
520	4770	4386
521	4774	4372
522	4783	4362
523	4792	4353
524	4798	4341
525	4807	4332
526	4815	4322
527	4820	4309
528	4826	4297
529	4835	4288
530	4845	4279
531	4854	4270
532	4863	4261
533	4872	4251
534	4881	4242
535	4886	4229
536	4893	4219
537	4902	4210
538	4911	4201
539	4921	4192
540	4930	4182
541	4935	4170
542	4944	4161
543	4953	4152
544	4959	4140
545	4969	4131
546	4978	4122
547	4987	4113
548	4996	4104
549	5002	4092
550	5011	4083
551	5020	4074
552	5029	4065
553	5038	4056
554	5047	4047
555	5056	4038
556	5066	4029
557	5075	4020
558	5084	4011
559	5093	4001
560	5102	3992
561	5111	3983
562	5120	3974
563	5129	3965
564	5139	3956
565	5148	3947
566	5157	3938
567	5166	3929
568	5176	3920
569	5185	3911
570	5194	3902
571	5203	3893
572	5213	3884
573	5222	3875
574	5231	3866
575	5240	3857
576	5250	3848
577	5254	3836
578	5264	3827
579	5273	3818
580	5282	3809
581	5287	3797
582	5296	3788
583	5305	3779
584	5309	3766
585	5318	3757
586	5327	3748
587	5336	3738
588	5345	3730
589	5349	3717
590	5358	3708
591	5363	3696
592	5368	3684
593	5377	3675
594	5384	3665
595	5393	3656
596	5402	3647
597	5411	3637
598	5420	3628
599	5425	3617
600	5434	3608
601	5444	3599
602	5453	3590
603	5462	3581
604	5471	3572
605	5480	3563
606	5489	3554
607	5493	3541
608	5502	3532
609	5511	3523
610	5521	3515
611	5527	3504
612	5536	3495
613	5545	3486
614	5554	3477
615	5560	3466
616	5569	3457
617	5578	3448
618	5588	3439
619	5596	3430
620	5600	3418
621	5610	3409
622	5612	3396
623	5621	3387
624	5630	3378
625	5640	3369
626	5646	3359
627	5655	3350
628	5664	3340
629	5673	3332
630	5682	3323
631	5692	3314
632	5697	3303
633	5706	3294
634	5710	3282
635	5719	3273
636	5728	3264
637	5737	3255
638	5746	3246
639	5755	3237
640	5765	3228
641	5774	3220
642	5783	3210
643	5792	3202
644	5801	3193
645	5810	3184
646	5820	3175
647	5828	3166
648	5838	3157
649	5844	3146
650	5853	3137
651	5860	3127
652	5866	3117
653	5876	3108
654	5885	3099
655	5894	3091
656	5899	3080
657	5904	3069
658	5913	3060
659	5922	3051
660	5931	3042
661	5941	3033
662	5950	3024
663	5959	3015
664	5968	3006
665	5973	2995
666	5982	2986
667	5989	2976
668	5998	2967
669	6007	2959
670	6011	2947
671	6020	2938
672	6030	2929
673	6039	2921
674	6048	2912
675	6057	2903
676	6066	2894
677	6075	2885
678	6084	2876
679	6093	2867
680	6102	2858
681	6112	2849
682	6121	2841
683	6130	2832
684	6139	2823
685	6143	2812
686	6152	2803
687	6161	2794
688	6170	2785
689	6180	2776
690	6189	2767
691	6199	2759
692	6205	2749
693	6214	2740
694	6219	2729
695	6229	2720
696	6235	2710
697	6244	2701
698	6253	2693
699	6262	2684
700	6272	2675
701	6281	2666
702	6288	2656
703	6297	2647
704	6306	2639
705	6312	2628
706	6321	2619
707	6330	2610
708	6334	2599
709	6343	2590
710	6352	2582
711	6361	2573
712	6370	2564
713	6374	2553
714	6383	2544
715	6392	2535
716	6400	2526
717	6409	2517
718	6418	2508
719	6427	2499
720	6435	2490
721	6444	2481
722	6454	2472
723	6463	2463
724	6472	2455
725	6481	2446
726	6490	2437
727	6497	2427
728	6506	2418
729	6515	2409
730	6524	2401
731	6534	2392
732	6543	2383
733	6552	2374
734	6561	2365
735	6571	2357
736	6580	2348
737	6585	2338
738	6594	2329
739	6604	2320
740	6614	2311
741	6623	2303
742	6633	2294
743	6641	2285
744	6651	2276
745	6660	2267
746	6669	2258
747	6678	2250
748	6687	2241
749	6696	2232
750	6705	2223
751	6714	2214
752	6718	2203
753	6727	2194
754	6736	2186
755	6745	2177
756	6755	2168
757	6764	2159
758	6773	2150
759	6778	2140
760	6787	2131
761	6794	2122
762	6803	2113
763	6812	2104
764	6821	2095
765	6831	2086
766	6839	2077
767	6845	2067
768	6848	2057
769	6857	2048
770	6867	2039
771	6876	2030
772	6880	2020
773	6889	2011
774	6898	2002
775	6907	1993
776	6916	1984
777	6925	1976
778	6929	1965
779	6938	1956
780	6947	1948
781	6956	1939
782	6965	1930
783	6974	1921
784	6984	1912
785	6993	1903
786	7002	1895
787	7011	1886
788	7020	1877
789	7025	1867
790	7034	1858
791	7043	1849
792	7047	1839
793	7056	1830
794	7065	1822
795	7072	1812
796	7081	1803
797	7090	1794
798	7099	1786
799	7108	1777
800	7118	1768
801	7127	1759
802	7136	1750
803	7145	1741
804	7154	1733
805	7159	1723
806	7168	1714
807	7178	1705
808	7187	1696
809	7196	1688
810	7205	1679
811	7215	1670
812	7218	1660
813	7228	1651
814	7237	1642
815	7246	1634
816	7255	1625
817	7264	1616
818	7273	1607
819	7283	1598
820	7292	1589
821	7296	1579
822	7305	1571
823	7314	1562
824	7324	1553
825	7333	1544
826	7342	1535
827	7351	1527
828	7355	1517
829	7364	1508
830	7373	1499
831	7382	1490
832	7391	1481
833	7395	1471
834	7404	1463
835	7413	1454
836	7417	1444
837	7426	1435
838	7435	1426
839	7440	1417
840	7449	1408
841	7458	1399
842	7467	1390
843	7476	1381
844	7485	1373
845	7494	1364
846	7503	1355
847	7513	1346
848	7522	1337
849	7531	1329
850	7541	1320
851	7550	1311
852	7559	1302
853	7568	1293
854	7577	1285
855	7587	1276
856	7596	1267
857	7600	1257
858	7609	1249
859	7613	1239
860	7622	1230
861	7631	1221
862	7640	1212
863	7649	1204
864	7658	1195
865	7668	1186
866	7677	1177
867	7682	1168
868	7691	1159
869	7700	1150
870	7707	1141
871	7716	1132
872	7725	1123
873	7734	1114
874	7739	1105
875	7748	1096
876	7757	1087
877	7766	1079
878	7775	1070
879	7784	1061
880	7788	1052
881	7792	1042
882	7801	1033
883	7810	1024
884	7820	1016
885	7828	1007
886	7833	998
887	7843	989
888	7852	980
889	7862	971
890	7867	962
891	7876	953
892	7885	944
893	7893	935
894	7902	927
895	7911	918
896	7920	909
897	7927	900
898	7936	891
899	7945	882
900	7954	874
901	7963	865
902	7972	856
903	7981	847
904	7990	838
905	7999	829
906	8004	820
907	8009	811
908	8018	802
909	8027	793
910	8036	785
911	8040	775
912	8049	767
913	8054	757
914	8063	749
915	8072	740
916	8081	731
917	8091	722
918	8100	713
919	8109	705
920	8118	696
921	8127	687
922	8136	678
923	8145	669
924	8154	661
925	8163	652
926	8173	643
927	8182	634
928	8191	626
929	8201	617
930	8210	608
931	8219	599
932	8228	590
933	8233	581
934	8242	573
935	8252	564
936	8261	555
937	8270	546
938	8279	537
