iter	Logloss
0	0.6871821497
1	0.6840424335
2	0.6788254399
3	0.6741289064
4	0.6689501265
5	0.663815081
6	0.6602395259
7	0.6559066579
8	0.6515554795
9	0.6469932765
10	0.6436495619
11	0.639497077
12	0.6355471713
13	0.6305198828
14	0.6264151637
15	0.6233911961
16	0.6189127728
17	0.615889749
18	0.6111941417
19	0.6090395899
20	0.6052330242
21	0.6016781589
22	0.59820577
23	0.5941823036
24	0.5922409042
25	0.588839384
26	0.5851736465
27	0.581536479
28	0.5787735171
29	0.5749724463
30	0.5714155929
31	0.5681875371
32	0.5650344705
33	0.5616497261
34	0.5579944378
35	0.5555175297
36	0.5523625983
37	0.5495440755
38	0.5466648771
39	0.5442255689
40	0.5426786984
41	0.5398337799
42	0.5379363661
43	0.5358417379
44	0.533045487
45	0.5309515524
46	0.5286825545
47	0.5268740699
48	0.5255373456
49	0.5240044072
50	0.5219025504
51	0.5193401103
52	0.5166385332
53	0.5143824808
54	0.5121215876
55	0.5103907043
56	0.5084117107
57	0.50664081
58	0.5049154949
59	0.5039081544
60	0.5026397947
61	0.5006433469
62	0.4984245094
63	0.4966853511
64	0.4948150709
65	0.4934595355
66	0.4912791979
67	0.4899777545
68	0.4879403741
69	0.4859320004
70	0.4839551698
71	0.482356549
72	0.4812074728
73	0.4797389345
74	0.4778324904
75	0.476139186
76	0.4746627312
77	0.4738317738
78	0.4724555136
79	0.4713163935
80	0.4699188394
81	0.4685079776
82	0.4670609541
83	0.4655323022
84	0.4642270788
85	0.4633206148
86	0.4621876666
87	0.4609296113
88	0.4595881608
89	0.4582659029
90	0.4573547496
91	0.4560193782
92	0.4550160439
93	0.4537015623
94	0.4526753623
95	0.4518150765
96	0.4507870309
97	0.449619819
98	0.4488099413
99	0.4477841025
100	0.4469578954
101	0.4463327064
102	0.4451238386
103	0.4440298186
104	0.4427945233
105	0.4416623662
106	0.440962752
107	0.4399363842
108	0.4389855877
109	0.4381896495
110	0.4371724231
111	0.4360197623
112	0.4350770172
113	0.434201344
114	0.4332805883
115	0.4321832785
116	0.4316184024
117	0.4313251163
118	0.430301008
119	0.4297425879
120	0.4290780397
121	0.4281521943
122	0.4274373349
123	0.4267111716
124	0.4262418488
125	0.4254229506
126	0.4251274707
127	0.4242829915
128	0.4234199816
129	0.4224738877
130	0.4217633621
131	0.4215107215
132	0.4206284122
133	0.4200100104
134	0.419737489
135	0.418749102
136	0.4184433614
137	0.4179009459
138	0.4170352787
139	0.4162155864
140	0.4154739549
141	0.4149334487
142	0.4140187808
143	0.4139641987
144	0.4137226443
145	0.4131699312
146	0.4129707738
147	0.4123402108
148	0.4119424057
149	0.4116112093
150	0.4109529125
151	0.4106597076
152	0.4101283312
153	0.4097230216
154	0.4095780878
155	0.4090771136
156	0.4089370638
157	0.4083492543
158	0.4079681615
159	0.407354805
160	0.4069931364
161	0.4064935195
162	0.4062775121
163	0.4056454057
164	0.4053389822
165	0.4046779325
166	0.404421056
167	0.4040351239
168	0.4036415841
169	0.4031469146
170	0.4027668488
171	0.4022838524
172	0.4021069047
173	0.4019803258
174	0.4013254691
175	0.4008722921
176	0.4004454629
177	0.3999624825
178	0.3996661395
179	0.3992126081
180	0.3986912702
181	0.3983696344
182	0.3976073091
183	0.3971449425
184	0.3970352412
185	0.3967029823
186	0.3962915322
187	0.3960916988
188	0.3957319706
189	0.3951015548
190	0.3950141949
191	0.3946146555
192	0.3941691613
193	0.3935516258
194	0.3929678255
195	0.392795278
196	0.3924605373
197	0.3919923644
198	0.3916214884
199	0.3914092227
200	0.3910703591
201	0.390843283
202	0.3906409918
203	0.3900767837
204	0.3899749339
205	0.3897210393
206	0.38946213
207	0.3891190565
208	0.3886078669
209	0.3883180874
210	0.3881448342
211	0.3878267937
212	0.3877492573
213	0.3872545052
214	0.3868433616
215	0.3864785026
216	0.386320451
217	0.3859290344
218	0.3856298696
219	0.3852966589
220	0.3848107234
221	0.3846465624
222	0.3842734054
223	0.384082436
224	0.383752569
225	0.3834777599
226	0.3832183637
227	0.3828457163
228	0.3827173546
229	0.3823390131
230	0.3821539901
231	0.381755706
232	0.3812549323
233	0.3811611598
234	0.3806968219
235	0.3805809268
236	0.3803962044
237	0.3801696462
238	0.3798780563
239	0.379676427
240	0.3793843011
241	0.3790209214
242	0.3787604758
243	0.3783935389
244	0.3782296703
245	0.3779449871
246	0.3777575673
247	0.3776758712
248	0.3773320348
249	0.3770718143
250	0.3768754123
251	0.3767825534
252	0.3765841656
253	0.3765155525
254	0.3762328422
255	0.3758507344
256	0.3757130312
257	0.3755366084
258	0.3751486305
259	0.3749357982
260	0.3746936859
261	0.3745583725
262	0.3743629882
263	0.3741561488
264	0.3738753046
265	0.373517803
266	0.3734058098
267	0.3733145888
268	0.373065302
269	0.3729086285
270	0.372662836
271	0.3723034133
272	0.3719859788
273	0.3716538301
274	0.3714535498
275	0.3710406721
276	0.3706249411
277	0.3703273483
278	0.3699206939
279	0.3696802534
280	0.369531986
281	0.3694406754
282	0.3691996282
283	0.3690632185
284	0.3685785316
285	0.3683711716
286	0.3682470818
287	0.3679261674
288	0.367762344
289	0.3675224004
290	0.3673928199
291	0.3671548869
292	0.3671353696
293	0.3670041084
294	0.367000523
295	0.3668629869
296	0.3667108581
297	0.3665302016
298	0.3664257261
299	0.3659664554
300	0.365852272
301	0.365707235
302	0.3656285753
303	0.3656007878
304	0.3652786053
305	0.3650384611
306	0.3649291232
307	0.3648065723
308	0.3647702551
309	0.3647034371
310	0.3647007844
311	0.3645894777
312	0.3645092335
313	0.3643239141
314	0.3640825401
315	0.3639181777
316	0.3638299484
317	0.363827614
318	0.363608883
319	0.36334497
320	0.3631631542
321	0.3631269246
322	0.3630012583
323	0.3629163094
324	0.3626944189
325	0.3626758877
326	0.3624669589
327	0.3623392388
328	0.3622043838
329	0.3619728151
330	0.361894337
331	0.3618541386
332	0.3617938442
333	0.3615705247
334	0.3613140268
335	0.3612302784
336	0.3611787818
337	0.3609722204
338	0.3609341937
339	0.3607985557
340	0.3605607273
341	0.3603525454
342	0.3602252401
343	0.3600577358
344	0.3597803674
345	0.3597603109
346	0.3595877719
347	0.3594773249
348	0.3593341111
349	0.3590818656
350	0.3585510444
351	0.3584018515
352	0.3582765987
353	0.3581314273
354	0.3577010457
355	0.3575053548
356	0.357470334
357	0.357282423
358	0.3571677907
359	0.357069117
360	0.3569990127
361	0.3568515989
362	0.3567335603
363	0.3565860685
364	0.3565561526
365	0.3564121005
366	0.3562981798
367	0.3561986516
368	0.3559590107
369	0.3557957745
370	0.3557575681
371	0.3555755861
372	0.3553977321
373	0.3550602263
374	0.3547465063
375	0.3546219858
376	0.3543658564
377	0.3541685332
378	0.354096139
379	0.353994408
380	0.3538383098
381	0.3536721401
382	0.3533842054
383	0.3532273639
384	0.3530673143
385	0.3529795749
386	0.3527905853
387	0.3527142663
388	0.3526696042
389	0.3524797199
390	0.352313405
391	0.3521516007
392	0.3520700712
393	0.3520166883
394	0.3518228154
395	0.3517852229
396	0.3516448409
397	0.3515294225
398	0.3514990343
399	0.3513843189
400	0.3513117592
401	0.3512011883
402	0.3510139714
403	0.3510008869
404	0.3509938708
405	0.3509349265
406	0.3508405185
407	0.3505335233
408	0.3504317485
409	0.3502840843
410	0.3500315279
411	0.349947998
412	0.3497377013
413	0.3495846043
414	0.3494668622
415	0.349385932
416	0.3491899153
417	0.3491868082
418	0.3491645515
419	0.3490575255
420	0.3489006335
421	0.3487991923
422	0.3486146411
423	0.3485977651
424	0.3485068791
425	0.3483207614
426	0.3482598753
427	0.3482199736
428	0.348116624
429	0.34800566
430	0.3477548889
431	0.347556807
432	0.3475052758
433	0.3474830817
434	0.3474421457
435	0.3473990098
436	0.3472489961
437	0.3470982986
438	0.3470559157
439	0.3469433412
440	0.3466745453
441	0.3466209833
442	0.3465324718
443	0.3464553202
444	0.3463034564
445	0.3463032801
446	0.3461187615
447	0.3460312969
448	0.3458797431
449	0.3457943789
450	0.345746678
451	0.345608282
452	0.3455011737
453	0.3454821821
454	0.3454024378
455	0.3452996066
456	0.3451668158
457	0.3448122718
458	0.3446927083
459	0.3445748557
460	0.3445391065
461	0.3445233681
462	0.3443686523
463	0.3442531026
464	0.3441068226
465	0.3440237052
466	0.343765158
467	0.343617646
468	0.343543642
469	0.3435044044
470	0.3431806122
471	0.3430173057
472	0.3429280372
473	0.3428406657
474	0.3427166379
475	0.3426763008
476	0.3426665025
477	0.3426203507
478	0.3424842448
479	0.3424011842
480	0.3422857172
481	0.3421585976
482	0.3420820209
483	0.3420424372
484	0.3417983624
485	0.3417259589
486	0.3416720897
487	0.3415256514
488	0.341482471
489	0.3414823441
490	0.3414472487
491	0.3412287128
492	0.3412042787
493	0.3410822812
494	0.3410732161
495	0.3409999096
496	0.3409492935
497	0.3408755218
498	0.3406820216
499	0.34056552
500	0.3404823321
501	0.3404459336
502	0.3403805611
503	0.340255658
504	0.340171001
505	0.3400720438
506	0.3400169468
507	0.3398012307
508	0.3396024955
509	0.3393452766
510	0.3391129892
511	0.3390165542
512	0.3389331766
513	0.3388999292
514	0.3388894012
515	0.3388297951
516	0.338738245
517	0.3386751732
518	0.3385295112
519	0.3384909029
520	0.3383464144
521	0.3383463765
522	0.3382789482
523	0.338207741
524	0.3381848958
525	0.3379779747
526	0.3379338159
527	0.3379228367
528	0.3379055452
529	0.3377958004
530	0.3376143714
531	0.3375029659
532	0.3373767936
533	0.3373576103
534	0.3372873042
535	0.3372737296
536	0.3372359799
537	0.3371437049
538	0.3369409457
539	0.3367538644
540	0.3366563387
541	0.3366419042
542	0.3364937547
543	0.3361996009
544	0.3361978997
545	0.3360443437
546	0.3360185614
547	0.3358137872
548	0.3357661252
549	0.3357286427
550	0.3355358233
551	0.3354660047
552	0.3351320585
553	0.3350189888
554	0.3347768042
555	0.3346047142
556	0.3344829211
557	0.3342015902
558	0.3341280213
559	0.3340325664
560	0.333884274
561	0.3337312243
562	0.333682056
563	0.3334104911
564	0.3333492568
565	0.3332039894
566	0.3331057429
567	0.3329693151
568	0.3328003816
569	0.3326835611
570	0.3324975659
571	0.3324201089
572	0.3323742905
573	0.3322681352
574	0.3320992918
575	0.3319240545
576	0.3318481398
577	0.3318447857
578	0.3317545548
579	0.3316104533
580	0.3315235978
581	0.3314843435
582	0.3313994374
583	0.3313041647
584	0.3312996484
585	0.3311799672
586	0.331150347
587	0.3310301344
588	0.3309745677
589	0.3309544051
590	0.3309211206
591	0.3309163186
592	0.3309118119
593	0.3308580067
594	0.3308273299
595	0.3306568007
596	0.3305886035
597	0.330578437
598	0.330435994
599	0.3304297428
600	0.3303220959
601	0.3302674919
602	0.3302412508
603	0.3301397029
604	0.3300907001
605	0.3299126537
606	0.3298293435
607	0.32981742
608	0.3297514646
609	0.3295025644
610	0.3293232174
611	0.3293076575
612	0.3291595133
613	0.329058695
614	0.3289864834
615	0.3289746729
616	0.3288966664
617	0.3288577276
618	0.3286205309
619	0.3285708438
620	0.3285453409
621	0.3284727533
622	0.3284727532
623	0.3283515773
624	0.3282879049
625	0.3280868262
626	0.3280706031
627	0.3279842365
628	0.3278813017
629	0.3276690301
630	0.327472899
631	0.3274130991
632	0.327395556
633	0.3272856649
634	0.3272672828
635	0.3272149198
636	0.327179698
637	0.3269199463
638	0.3268148457
639	0.3266314334
640	0.3265684465
641	0.3264470293
642	0.3263233759
643	0.3261811452
644	0.3261384087
645	0.3259024464
646	0.3258397623
647	0.3257281934
648	0.325640521
649	0.3256281204
650	0.3255743822
651	0.3255630287
652	0.3255416098
653	0.3254850348
654	0.3254455651
655	0.325381587
656	0.3253376428
657	0.3253213216
658	0.3251809757
659	0.3250277959
660	0.3249725666
661	0.3249409806
662	0.3248885029
663	0.3248439796
664	0.3247640922
665	0.3247530184
666	0.3245264359
667	0.3244795981
668	0.3244028357
669	0.3242850233
670	0.3242809264
671	0.3240589521
672	0.3239050674
673	0.3238861468
674	0.3238141631
675	0.3237352741
676	0.3236351524
677	0.32352711
678	0.3234569951
679	0.3233010648
680	0.3231239569
681	0.3230256433
682	0.3229188539
683	0.3226581813
684	0.3225509472
685	0.3225405698
686	0.3224515361
687	0.3224090407
688	0.3222949159
689	0.322167851
690	0.3221261688
691	0.3219933488
692	0.3219654359
693	0.3218912633
694	0.3218911586
695	0.3217674855
696	0.3217609434
697	0.3216690136
698	0.3215255405
